CMGT 451,Heavy Constr Principles & Prac,0100
CMGT 461,Construction Management I,0110
CMGT 463,Value Engineering I,1010
CMGT 465,Marketing Construct Services,0010
CMGT 467,Techniques of Project Control,1100
CMGT 468,Real Estate,0000
CMGT 469,Constr Seminar: Contemp Issues,0000
COM 101,Human Communication,1000
COM 111,Principles of Communication,1111
COM 150,Mass Media and Society,1111
COM 210,Theory/Models Of Commun,1111
COM 220,Qualitative Research Methods,1111
COM 230,Techniques of Speaking,1111
COM 240,New Technol In Commun,1111
COM 260,Fundamentals of Journalism,1111
COM 265,Radio Journalism,0000
COM 270,Business Communication,1111
COM 280,Public Relations,1111
COM 281,Advanced Public Relations,1100
COM 282,Public Relations Writing,0010
COM 290,Sports and the Mass Media,1000
COM 300,On-Line Journalism,0000
COM 305,Sports Journalism,0000
COM 310,Technical Communication,1111
COM 311,Dynamics of Interpersonal Com,0000
COM 315,Advanced Journalism,0000
COM 316,Campaigns for Health & Envrmt,0000
COM 317,Environmental Communication,0000
COM 318,Film/Celeb/Environmental Movt,0000
COM 320,Science Writing,0010
COM 325,Cultural Significance of Fame,0000
COM 330,Professional Presentations,1111
COM 335,Electronic Publishing,1101
COM 340,Desktop Publishing,1010
COM 342,English Worldwide,0100
COM 345,Intercultural Communication,0010
COM 350,Message Design and Evaluation,0010
COM 351,Computer Mediated Comm,0100
COM 355,Ethnography of Communication,0110
COM 360,International Communication,1000
COM 362,International Negotiations,0100
COM 363,Event Planning,1000
COM 365,Journalists: Courts & the Law,0000
COM 370,Advanced Business Writing,1001
COM 375,Grant Writing,1001
COM 385,Media Effects,0101
COM 390,Global Journalism,0000
COM 400,Seminar in Communication,1111
COM 410,Advanced Technical Writing,0000
COM 420,Technical Editing,0010
COM 491,Sr Project Commun I,1111
COM 492,Sr Project In Commun II,1111
CRTV 301,Foundations in Creativity,1000
CRTV 302,Tools & Techniqs in Creativity,0100
CRTV 303,Creativity in the Workplace,0110
CS 121,Computation Lab I,1101
CS 122,Computation Lab II,0111
CS 123,Computation Lab III,1011
CS 130,Prog Concepts 3D Animation,1000
CS 131,Computer Programming A,1110
CS 132,Computer Programming B,0111
CS 133,Computer Programming C,0000
CS 161,Introduction to Computing,1111
CS 164,Intro to Computer Science,1000
CS 171,Computer Programming I,1110
CS 172,Computer Programming II,0111
CS 190,Selected Computer Language,0100
CS 203,Programming for Engineers,0000
CS 204,Adv Programming for Engineers,1111
CS 260,Data Structures,0101
CS 265,Adv Programing Techniques,1010
CS 270,Math Foundations of Comp Sci,1010
CS 280,Special Topics in Comp Sci,0000
CS 281,Systems Architecture I,1010
CS 282,Systems Architecture II,0101
CS 283,Systems Programming,0000
CS 300,Applied Symbolic Computation,1000
CS 303,Alg Number Theory & Crypto,0010
CS 337,Human-Computer Interaction,1000
CS 338,Graphical User Interfaces,0101
CS 345,Computer Game Design & Develop,0101
CS 350,Software Design,1010
CS 360,Programming Language Concepts,0101
CS 361,Concurrent Programming,1010
CS 365,System Administration,0001
CS 370,Operating Systems,0101
CS 380,Artificial Intelligence,1010
CS 430,Computer Graphics,1110
CS 431,Advanced Rendering Techniques,0010
CS 432,Interactive Computer Graphics,0100
CS 435,Computational Photography,0100
CS 440,Theory of Computation,0010
CS 441,Compiler Workshop I,0000
CS 442,Compiler Workshop II,0000
CS 445,Topics in Computer Gaming,0100
CS 451,Software Engineering,0101
CS 457,Data Structures & Algorithms I,1000
CS 458,Data Structures&Algorithms II,0100
CS 461,Database Systems,0101
CS 470,Operating Systems Workshop,0000
CS 472,Computer Networks,1010
CS 475,Computer and Network Security,0100
CS 476,High Performance Computing,0000
CS 481,Adv Artificial Intelligence,0100
CS 485,Special Topics in AI,0011
CS 491,Software Eng Workshop I,1000
CS 492,Software Eng Workshop II,0100
CS 493,Software Eng Workshop III,0010
CT 100,Microcomputer Hardware,1010
CT 120,Microcomputer Operating System,1101
CT 140,Network Administration I,1110
CT 200,Server I,1110
CT 210,Linux I,1001
CT 212,Computer Forensics,1110
CT 213,Forensic Data Recovery Tech,0000
CT 220,Database I,1101
CT 222,Security and Info Warfare,0110
CT 225,Data Mining Tech for Security,0000
CT 230,Web Development I,1100
CT 240,Web Development II,1110
CT 290,Client Side Programming,1110
CT 295,Public Key Infrastructure Tech,1000
CT 300,Sec Tech Models & Arch I,0110
CT 310,Linux II,1100
CT 312,Access Cntrl & Intrusion Tech,1111
CT 315,Security Management Practice,1111
CT 320,Server II,1110
CT 325,OS Security Architecture I,1110
CT 326,OS Security Architecture II,0001
CT 330,Network Administration II,0110
CT 336,IP Security & VPN Technology,0110
CT 340,Operating Sys Arch I,0111
CT 350,Network Administration III,0011
CT 355,Wireless Network Security Tech,1000
CT 360,Operating Sys Arch II,1111
CT 362,Network Auditing Tools,0110
CT 370,OO Systems Analysis,1110
CT 375,Database II,1111
CT 380,Operating Sys Arch III,1111
CT 382,Applied Cryptography,0100
CT 385,Web Development III,0110
CT 388,Topics Computing Technology I,0000
CT 389,Topics Computing Technology II,0000
CT 390,Server Side Programming,0111
CT 392,Web Development IV,0000
CT 393,IT Security Risk Assessment,1011
CT 395,IT Security I,1111
CT 400,Network Security,1011
CT 402,Network Security II,1101
CT 405,Enterprise Programming,0011
CT 407,Network Security III,0000
CT 410,Linux III,1110
CT 412,IT Security Policies,0011
CT 415,Disaster Recovery,1011
CT 420,IT Security II,1110
CT 422,Incident Response Best Prac,1101
CT 425,Database III,0111
CT 427,E-Commerce & Web Security Tech,0000
CT 430,Database IV,0000
CT 431,Project Management,0111
CT 432,IT Security Systems Audits,0011
CT 435,Database V,0000
CT 438,Database VI,0000
CT 472,Sec Defense Countermeasures,0110
CT 491,Senior Project I,1111
CT 496,Senior Project II,1011
CULA 115,Culinary Fundamentals,0110
CULA 120,Techniques & Traditions I,0010
CULA 121,Techniques & Traditions II,1000
CULA 125,Found of Professional Baking,1000
CULA 216,A la Carte,0010
CULA 220,Patisserie I,0010
CULA 225,Patisserie II,1000
CULA 226,Patisserie III,0000
CULA 235,Prof Dining Rm Mgmt,0010
CULA 240,Fund of Chinese Cuisine,0000
CULA 290,Culinary Arts Practicum I,0001
CULA 291,Culinary Arts Practicum II,0001
CULA 300,Fund of Vegetarian Cuisine,0001
CULA 305,Fund of Italian Cuisine,0001
CULA 306,Advanced Italian Cuisine,1000
CULA 310,Fund of French Cuisine,1000
CULA 311,Advanced French Cuisine,0000
CULA 315,Fund of American Cuisine,0100
CULA 316,Butchery Lab,1000
CULA 320,Advanced Culinary Studio,0100
CULA 325,Garde Manger Lab,0100
CULA 330,Charcuterie,0100
CULA 335,Fund of Indian Cuisine,0000
CULA 405,Culture and Gastronomy I,1000
CULA 410,Culture and Gastronomy II,0100
CULA 412,Food Writing,0010
CULA 415,Food Styling & Photography,1000
CULA 420,Senior Design Project,0010
CULA 425,The Kitchen Garden: Spring,0010
CULA 426,The Kitchen Garden: Summer,0001
CULA 427,The Kitchen Garden: Fall,1000
CUST 380,Spec Top Customer Oper,0000
CUST 401,Cust Serv Pract I,0000
CUST 402,Cust Serv Pract II,0000
CUST 403,Cust Serv Pract III,0000
DANC 100,Survey of Dance Studies,0001
DANC 131,Dance Practicum-Performance,1111
DANC 132,Dance Practicum-Production,1110
DANC 133,Dance Practicum-Choreography,1110
DANC 140,Ballet Technique I,1111
DANC 141,Ballet Technique II,1110
DANC 150,Modern Dance Technique I,1100
DANC 151,Modern Dance Technique II,1111
DANC 160,Jazz Dance Technique I,1111
